Keyword,Category
WHOLE FOODS,Groceries
TRADER JOE,Groceries
KROGER,Groceries
PUBLIX,Groceries
COSTCO,Groceries
NETFLIX,Subscriptions
SPOTIFY,Subscriptions
HULU,Subscriptions
DISNEY+,Subscriptions
SHELL,Gas
CHEVRON,Gas
EXXON,Gas
UBER,Transportation
LYFT,Transportation
STARBUCKS,Dining Out
CHIPOTLE,Dining Out
MCDONALDS,Dining Out
AMAZON,Shopping
TARGET,Shopping
WALMART,Shopping
COMCAST,Internet
VERIZON,Phone
T-MOBILE,Phone
COINBASE,Investments
IRS USATAXPYMT,Taxes
AIRBNB,Travel
DELTA AIR,Travel
VENMO,Transfer
CASH APP,Transfer
ZELLE,Transfer
